"iso3","year","number_grandparents","share_grandparents","pop_un"
"MUS",2022,291694.026061627,0.224495203355589,1299333
"MWI",2022,2501833.77714857,0.122640215199768,20399783
"MYS",2022,5409808.38083327,0.159411150914232,33936198
"NAM",2022,381043.995779046,0.148532406449634,2565393
"NCL",2022,65336.3613842804,0.225362298120774,289917
"NER",2022,3421883.80764944,0.130577151437488,26205839
"NGA",2022,28203718.4247517,0.129072506956396,218510658
"NIC",2022,1284717.31783261,0.184894909497789,6948365
"NLD",2022,3632401.77521779,0.206861811788178,17559557
"NOR",2022,1185554.89672477,0.218210301317773,5433084
"NPL",2022,5492352.19358813,0.179800958619038,30546846
"NZL",2022,1194890.44116758,0.230496063589487,5183995
"OMN",2022,525873.726008031,0.114912850889692,4576283
"PAK",2022,34323914.5943203,0.145552230941301,235818540
"PAN",2022,1006353.55933607,0.228333895497497,4407377
"PER",2022,7109257.25676399,0.2087971480547,34048632
"PHL",2022,20200448.3490315,0.174808943897911,115557293
"PNG",2022,1449240.73713916,0.142897346360747,10141831
"POL",2022,9266350.02176349,0.232516177199127,39852496
"PRI",2022,1027597.23353108,0.316321193555808,3248588
"PRK",2022,5146626.46374574,0.197427746873878,26068405
"PRT",2022,2458217.15896395,0.239436891741223,10266660
"PRY",2022,1266093.27084258,0.186735950164139,6780126
"PSE",2022,754646.552353452,0.143746718202277,5249835
"PYF",2022,73674.5455344385,0.240555020372413,306269
"QAT",2022,317773.754679638,0.117906214400602,2695140
"ROU",2022,4886382.70939548,0.248574355575697,19657630
"RUS",2022,31747869.2888892,0.219415497796808,144692921
"RWA",2022,1556077.23544055,0.112955910577662,13775970
"SAU",2022,5440961.18357813,0.149442530438473,36408385
"SDN",2022,6166788.37318512,0.13156142170115,46873835
"SEN",2022,2140619.68309259,0.123620332053921,17316081
"SGP",2022,1051795.3773358,0.176033170521595,5974984
"SLB",2022,108120.317384319,0.149277661412306,724290
"SLE",2022,1290317.58353874,0.149940652471604,8605522
"SLV",2022,1373765.84297484,0.216838645492648,6335429
"SOM",2022,1999538.17873156,0.113630428774435,17596855
"SRB",2022,1879034.41049625,0.260239908062656,7220393
"SSD",2022,1523466.18343989,0.139598689387065,10913184
"STP",2022,36694.4876759765,0.161364671553672,227401
"SUR",2022,134025.015006208,0.216874571196354,617984
"SVK",2022,1304759.2650441,0.231230337815262,5642682
"SVN",2022,500525.501338511,0.236150068359018,2119523
"SWE",2022,2227614.70345921,0.211213719306179,10546733
"SWZ",2022,183971.276182967,0.153115578016633,1201519
"SYC",2022,24840.1064204037,0.231857996176821,107135
"SYR",2022,3563433.9315747,0.161059612080029,22124938
"TCD",2022,2188768.62158841,0.123500835148476,17722703
"TGO",2022,1221555.20918026,0.1380502700849,8848626
"THA",2022,19179147.0914529,0.267618435653698,71666016
"TJK",2022,1573962.40408927,0.158152684699847,9952170
"TKM",2022,1081789.53839218,0.168257209620863,6429380
"TLS",2022,187809.153106379,0.140030579388458,1341201
"TON",2022,16512.7193585071,0.154525218353816,106861
"TTO",2022,335396.669844433,0.219101238218085,1530784
"TUN",2022,2185120.25478429,0.176853237355814,12355557
"TUR",2022,17885301.2484036,0.20958282609406,85337628
"TWN",2022,5086826.4483772,0.212986509307401,23883327
"TZA",2022,8594522.11933453,0.131231120171644,65491494
"UGA",2022,5390548.50739604,0.114092178102754,47247310
"UKR",2022,9832812.88081266,0.24771726653224,39693692
"URY",2022,850355.794787289,0.248735357383278,3418717
"USA",2022,81766765.6588954,0.24177463695001,338194141
"UZB",2022,6364732.89624338,0.183819526191378,34624901
"VCT",2022,26157.3864100936,0.251641571282419,103947
"VEN",2022,6898586.92681171,0.243756089914378,28301188
"VIR",2022,35810.3132759243,0.360025669836169,99466
"VNM",2022,20610135.2315137,0.209931008236338,98175755
"VUT",2022,45669.5142275982,0.139781813869975,326720
"WSM",2022,35630.5291471317,0.160228666012203,222373
"YEM",2022,4057804.51173527,0.120421703758821,33696621
"ZMB",2022,2416387.52930064,0.120715585204873,20017196
"ZWE",2022,1950789.88013569,0.119540622890009,16319054
